date,3years,total,class
2017,5,5,0
2018,5,5,0
2019,4,4,0
2020,114,114,0
2017,0,0,0
2020,48,48,2
2017,31,54,0
2020,12,12,2
2014,4,4,0
2020,15,16,2
2020,45,45,0
2017,4,9,0
2014,6,19,0
2016,5,9,0
2014,140,307,0
2014,6,6,0
2016,13,31,2
2014,10,18,0
2020,107,107,2
2014,6,18,0
2020,165,165,2
2020,6,6,0
2015,37,107,0
2016,35,60,0
2019,25,92,1
2015,46,280,0
2020,14,14,0
2017,6,10,0
2019,17,17,1
2019,1,1,1
2018,10,15,2
2019,21,38,2
2018,14,19,0
2017,66,97,2
2013,6,12,0
2019,4,4,0
2019,17,21,0
2019,6,9,0
2018,17,23,0
2020,3,3,0
2013,317,930,0
2018,1,1,1
2019,5,5,1
2018,22,38,0
2013,17,18,2
2019,89,110,0
2020,0,0,2
2013,3,5,0
2013,22,274,0
2019,16,19,0
2018,21,31,0
2012,5,12,0
2013,5,5,0
2018,27,49,0
2019,5,5,0
2019,21,21,1
2013,63,583,2
2019,18,30,0
2019,8,11,2
2020,6,6,2
2019,4,4,0
2012,23,55,2
2018,16,18,0
2019,27,36,0
2020,21,21,0
2019,3,3,0
2019,5,5,0
2012,4,12,2
2019,40,65,2
2020,85,86,2
2017,56,75,0
2020,8,8,0
2019,20,27,0
2012,7,10,0
2020,1,1,2
2019,3,3,2
2019,3,3,0
2013,4,6,1
2019,200,397,2
2018,10,17,0
2012,0,0,2
2018,7,7,2
2019,26,32,0
2019,9,9,0
2019,54,111,0
2013,3,3,0
2019,2,2,0
2018,92,134,0
2019,6,6,0
2013,7,14,2
2019,17,17,1
2019,3,3,0
2020,2,2,0
2019,43,62,0
2018,3,3,0
2018,0,0,2
2018,10,10,0
2013,7,18,0
2019,1,1,0
2019,24,61,0
2019,11,11,2
2018,2,2,0
2013,9,14,0
2018,25,39,0
2019,15,19,0
2019,5,13,0
2014,14,102,2
2020,14,28,1
2018,71,119,0
2016,86,476,0
2020,83,83,0
2015,17,37,0
2020,9,9,0
2020,33,33,2
2016,19,597,0
2018,5,5,0
2019,29,76,0
2020,21,21,0
2015,34,62,0
2016,5,5,0
2020,38,58,0
2015,6,6,0
2020,4,4,0
2015,4,5,2
2017,3,3,0
2020,8,8,0
2014,6,12,2
2014,14,37,0
2017,32,59,2
2020,13,97,2
2013,12,14,0
2015,60,341,0
2016,9,20,1
2020,6,6,0
2018,4,4,0
2014,30,45,0
2019,58,96,0
2016,21,163,0
2020,40,64,2
2013,3,7,0
2020,15,15,1
2015,19,63,0
2019,4,4,0
2014,16,56,0
2018,416,843,0
2013,3,5,2
2019,9,10,2
2018,30,52,2
2013,12,32,0
2018,69,77,2
2019,2,2,0
2018,54,57,0
2019,0,0,1
2019,3,3,0
2013,19,69,0
2012,3,3,0
2019,40,53,2
2019,7,9,0
2019,13,17,0
2019,4,4,0
2012,45,104,0
2013,8,11,0
2019,23,23,0
2019,3,3,2
2018,48,135,2
2019,26,28,2
2013,1,1,0
2012,11,120,0
2015,20,102,0
2018,28,34,0
2019,12,12,0
2016,3,3,0
2020,37,37,0
2020,10,11,0
2014,16,37,0
2019,26,34,2
2017,1,1,0
2020,83,84,0
2014,5,8,0
2014,5,24,0
2019,13,20,0
2016,29,86,2
2015,26,50,2
2016,31,56,0
2020,16,16,0
2020,0,0,0
2015,27,86,0
2016,40,100,0
2020,9,9,0
2016,11,17,0
2016,4,6,0
2020,43,43,0
2020,24,34,0
2015,5,11,2
2016,14,19,0
2020,50,50,2
2015,12,20,2
2012,28,53,0
2020,8,8,0
2020,6,6,0
2020,1,1,0
2012,13,25,2
2014,21,37,0
2020,1,1,2
2017,66,154,0
2019,41,120,2
2017,23,52,0
2020,6,6,2
2020,16,16,0
2020,40,40,2
2014,16,124,2
2020,49,162,2
2017,39,150,2
2020,2,2,2
2020,60,95,2
2015,24,44,0
2020,21,21,0
2015,6,16,2
2016,38,364,0
2020,4,4,0
2015,29,274,2
2015,8,13,0
2020,110,193,2
2015,33,57,2
2015,34,63,0
2016,8,166,2
2020,1,1,2
2015,7,14,0
2016,11,18,0
2017,9,14,0
2014,4,4,0
2017,14,29,0
2014,3,3,0
2019,25,30,1
2018,88,125,0
2019,7,9,0
2013,29,77,2
2018,197,361,0
2013,17,74,0
2013,53,435,0
2016,27,48,0
2019,7,9,0
2018,14,18,0
2020,32,32,2
2018,31,59,0
2012,18,88,0
2019,8,8,1
2020,12,12,1
2019,8,11,2
2019,8,8,1
2019,17,25,2
2012,18,124,2
2019,5,7,0
2019,7,8,0
2019,25,37,0
2019,1,1,0
2019,11,18,0
2019,0,0,0
2019,4,4,2
2013,18,40,0
2020,143,143,0
2018,18,22,0
2013,5,6,1
2020,4,4,0
2019,73,104,1
2018,52,101,1
2020,1,1,0
2019,19,34,0
2020,5,5,0
2017,6,6,0
2014,15,30,2
2012,1,1,0
2019,10,15,0
2018,18,53,0
2013,11,17,0
2018,62,86,2
2019,15,15,0
2018,4,4,0
2013,21,66,0
2018,17,39,0
2018,2,2,0
2019,14,14,2
2019,37,49,1
2018,10,22,0
2013,30,108,0
2019,16,20,2
2018,13,13,2
2019,49,90,2
2019,35,42,1
2018,11,19,2
2020,42,75,2
2019,2,2,0
2020,10,10,1
